movie_id,rating_average,rating_count,demographic
109830,8.8,1870499,total
109830,8.8,1032446,gender_m
109830,8.7,269593,gender_f
109830,8.9,1215,age_0_17
109830,8.9,344804,age_18_29
109830,8.8,699679,age_30_44
109830,8.4,171349,age_45_99
111161,9.3,2421280,total
111161,9.3,1425106,gender_m
111161,9.2,282157,gender_f
111161,9.3,1464,age_0_17
111161,9.3,429589,age_18_29
111161,9.3,934620,age_30_44
111161,9.1,230960,age_45_99
110912,8.9,1878692,total
110912,8.9,1118022,gender_m
110912,8.5,213137,gender_f
110912,9.0,990,age_0_17
110912,8.9,315521,age_18_29
110912,8.9,741455,age_30_44
110912,8.7,196738,age_45_99
102926,8.6,1310037,total
102926,8.6,748544,gender_m
102926,8.6,182118,gender_f
102926,8.6,639,age_0_17
102926,8.6,217556,age_18_29
102926,8.6,505265,age_30_44
102926,8.6,154990,age_45_99
133093,8.7,1725422,total
133093,8.8,1041125,gender_m
133093,8.3,190611,gender_f
133093,8.5,952,age_0_17
133093,8.5,268518,age_18_29
133093,8.8,707432,age_30_44
133093,8.6,183759,age_45_99
76759,8.6,1259358,total
76759,8.6,768675,gender_m
76759,8.4,124825,gender_f
76759,8.6,799,age_0_17
76759,8.5,190919,age_18_29
76759,8.6,486973,age_30_44
76759,8.8,166597,age_45_99
107290,8.1,893669,total
107290,8.1,535090,gender_m
107290,8.0,103837,gender_f
107290,8.2,579,age_0_17
107290,8.1,142040,age_18_29
107290,8.2,366332,age_30_44
107290,7.9,93314,age_45_99
112573,8.3,978423,total
112573,8.4,618918,gender_m
112573,8.0,107651,gender_f
112573,8.1,241,age_0_17
112573,8.3,127923,age_18_29
112573,8.4,441000,age_30_44
112573,8.1,119899,age_45_99
103064,8.5,1019033,total
103064,8.6,672194,gender_m
103064,8.1,78862,gender_f
103064,8.6,461,age_0_17
103064,8.4,133292,age_18_29
103064,8.6,455503,age_30_44
103064,8.3,122838,age_45_99
108052,8.9,1246044,total
108052,8.9,730557,gender_m
108052,9.0,163633,gender_f
108052,9.2,539,age_0_17
108052,9.0,194316,age_18_29
108052,8.9,502174,age_30_44
108052,8.8,148723,age_45_99
